year,n_obs,n_missing,pct_missing,max_missing_run,median_gap_weeks,interpolatable_weeks,n_interpolated_filled,total_weeks,source
2013,31,21,40.38461538461539,14,1.0,0,2,52,Icelandic 10m
2014,39,13,25.0,0,1.0,0,2,52,Icelandic 10m
2015,52,0,0.0,0,1.0,0,0,52,Icelandic 10m
2016,42,10,19.23076923076923,0,1.0,0,0,52,Icelandic 10m
2020,16,36,69.23076923076923,3,1.0,0,0,52,Icelandic 10m
2022,2,50,96.15384615384616,50,1.0,0,0,52,Icelandic 10m
2023,52,0,0.0,0,1.0,0,0,52,Icelandic 10m
2024,53,0,0.0,0,1.0,0,0,53,Icelandic 10m
2013,31,21,40.38461538461539,14,1.0,0,2,52,Icelandic Zeu
2014,39,13,25.0,0,1.0,0,2,52,Icelandic Zeu
2015,52,0,0.0,0,1.0,0,0,52,Icelandic Zeu
2016,42,10,19.23076923076923,0,1.0,0,0,52,Icelandic Zeu
2020,16,36,69.23076923076923,3,1.0,0,0,52,Icelandic Zeu
2022,2,50,96.15384615384616,50,1.0,0,0,52,Icelandic Zeu
2023,52,0,0.0,0,1.0,0,0,52,Icelandic Zeu
2024,53,0,0.0,0,1.0,0,0,53,Icelandic Zeu
2013,24,28,53.84615384615385,22,1.0,0,2,52,Irminger 10m
2014,52,0,0.0,0,1.0,0,0,52,Irminger 10m
2015,38,14,26.923076923076923,0,1.0,0,2,52,Irminger 10m
2016,28,24,46.15384615384615,10,1.0,0,2,52,Irminger 10m
2017,37,15,28.846153846153847,0,1.0,0,0,52,Irminger 10m
2018,0,53,100.0,53,,0,0,53,Irminger 10m
2021,17,35,67.3076923076923,31,1.0,0,2,52,Irminger 10m
2022,51,1,1.9230769230769231,1,1.0,1,0,52,Irminger 10m
2023,52,0,0.0,0,1.0,0,0,52,Irminger 10m
2024,53,0,0.0,0,1.0,0,0,53,Irminger 10m
2013,24,28,53.84615384615385,22,1.0,0,2,52,Irminger Zeu
2014,52,0,0.0,0,1.0,0,0,52,Irminger Zeu
2015,38,14,26.923076923076923,0,1.0,0,2,52,Irminger Zeu
2016,28,24,46.15384615384615,10,1.0,0,2,52,Irminger Zeu
2017,37,15,28.846153846153847,0,1.0,0,0,52,Irminger Zeu
2018,0,53,100.0,53,,0,0,53,Irminger Zeu
2021,17,35,67.3076923076923,31,1.0,0,2,52,Irminger Zeu
2022,51,1,1.9230769230769231,1,1.0,1,0,52,Irminger Zeu
2023,52,0,0.0,0,1.0,0,0,52,Irminger Zeu
2024,53,0,0.0,0,1.0,0,0,53,Irminger Zeu
